Channel Name,Total Followers,Avg Views/video,Avg Likes/video,Avg Comments/video
coolos,21120,0.0,0.0,0.0
padwal kiran 1985 influencer,21120,0.0,0.0,0.0
Marticore,20090,13685.23,593.92,115.48
Let's Polish,19481,17978.12,501.94,141.75
MonsterCam,15988,75807.57,876.92,7.83
KXN,15128,2733.76,120.09,20.34
SAGI,13759,6858.48,328.36,37.78
roosvelt1984,12060,11620.46,63.39,21.0
Monia Urbanowicz,10605,5699.24,153.83,19.14
test influencer,10200,0.0,0.0,0.0
Hookie,2723,104798.4,209.06,37.23
